Nombre_original,Nombre_corregido,Email_original,Email_limpio,Teléfono_original,Telefono_corregido,Ciudad_original,Ciudad_corregido,Observaciones
Laura Hernández,Laura Hernández,laurahernández@yahoocom,laurahernández@yahoocom,57-3007249214,+57573130401664,barranquilla,Barranquilla,
Carlos Rojas,Carlos Rojas,carlos.rojas@company.con,carlos.rojas@company.con,+57(316)4126539,+57573102734654,pereira,Pereira,
Miguel Díaz,Miguel Díaz,miguel.díaz@gmail.com,miguel.díaz@gmail.com,311.970.8103,+57573162582763,barranquilla,Barranquilla,
Carlos González,Carlos González,carlos.gonzález@yahoo.com,carlos.gonzález@yahoo.com,311 683 2351,+57573130873664,manizales,Manizales,
juan pérez,Juan Pérez,juan.perez @gmail .com,juan.perez @gmail .com,+57 310-123-4567,+57573101234567,bogotá,Bogotá,
María López,María López,maria.lopez@gnail.com,maria.lopez@gnail.com,(311)9876543,+57573119876543,medellín,Medellín,
José Suárez,José Suárez,josé.suárezcompany.com,josé.suárezcompany.com,321 778 0269,+57573211895085,bogotá,Bogotá,
Miguel Suárez,Miguel Suárez,miguel.suárez@company.com,miguel.suárez@company.com,3139587743,+57573133257687,manizales,Manizales,
Laura López,Laura López,LAURA.LÓPEZ@HOTMAIL.COM,laura.lópez@hotmail.com,(315)2816077,+57573113638150,bucaramanga,Bucaramanga,
Carlos Herrera,Carlos Herrera,carlos.herrera@company.com,carlos.herrera@company.com,+57(315)0053145,+57573106073841,bucaramanga,Bucaramanga,
Laura González,Laura González,laura.gonzález@outlook.com,laura.gonzález@outlook.com,(311)9047838,+57573200937768,bucaramanga,Bucaramanga,
Andrés Ortega,Andrés Ortega,andrés.ortega@gmail.com,andrés.ortega@gmail.com,3003663352,+57573118523813,pereira,Pereira,
Laura Mejía,Laura Mejía,laura.mejía@outlook.com,laura.mejía@outlook.com,320 391 7419,+57573139309433,bucaramanga,Bucaramanga,
Paula Vargas,Paula Vargas,paula.vargas@company.com,paula.vargas@company.com,+57 314-411-8835,+57573117774122,barranquilla,Barranquilla,
Carlos Mora,Carlos Mora,carlos.mora@hotmail.com,carlos.mora@hotmail.com,57-3139907390,+57573137629474,cartagena,Cartagena,
Luis Gómez,Luis Gómez,luisgómez@yahoocom,luisgómez@yahoocom,300.827.2913,+57573008001456,medellín,Medellín,
Paula Rivas,Paula Rivas,paula.rivas (at) hotmail.com,paula.rivas (at) hotmail.com,+57 320-606-7537,+57573145801401,pereira,Pereira,
Laura Vargas,Laura Vargas,laura.vargas at yahoo.com,laura.vargas at yahoo.com,+57(320)6986181,+57573000842027,,,Col.H Verificar ciudad
Roberto Hernández,Roberto Hernández,roberto.hernández@gmail.com,roberto.hernández@gmail.com,3134-577-736,+57573139704830,soacha,Soacha,
Laura Mejía,Laura Mejía,laura.mejía@hotmial.com,laura.mejía@hotmial.com,(315)7193057,+57573208522430,cali,Cali,
Miguel Mejía,Miguel Mejía,miguel.mejía@hotmail.com,miguel.mejía@hotmail.com,3204193908,+57573153747551,barranquilla,Barranquilla,
Andrés Castillo,Andrés Castillo,andrés.castillo@yahoo.con,andrés.castillo@yahoo.con,+57 315-958-6222,+57573157617633,medellín,Medellín,
Marta Suárez,Marta Suárez,marta.suárez@hotmail.com,marta.suárez@hotmail.com,57-3208479417,+57573135510244,soacha,Soacha,
Andrés Vargas,Andrés Vargas,andrés.vargas at company.com,andrés.vargas at company.com,320.098.4080,+57573004275990,ibagué,Ibagué,
María Cano,María Cano,maría.cano@hotmail.com,maría.cano@hotmail.com,+57 310-297-0165,+57573200590564,cartagena,Cartagena,
Natalia Martínez,Natalia Martínez,natalia.martínez@hotmail.com,natalia.martínez@hotmail.com,3150-893-964,+57573162872654,bogotá,Bogotá,
Natalia González,Natalia González,natalia.gonzález@hotmail.com,natalia.gonzález@hotmail.com,+57(315)0239273,+57573155255979,bucaramanga,Bucaramanga,
Fernando Hernández,Fernando Hernández,fernando.hernández@gmail.com,fernando.hernández@gmail.com,321 445 7029,+57573206335268,cartagena,Cartagena,
Luis Ortega,Luis Ortega,luis.ortegahotmail.com,luis.ortegahotmail.com,3008539292,+57573105703289,manizales,Manizales,
Sofía Herrera,Sofía Herrera,sofía.herrera at hotmail.com,sofía.herrera at hotmail.com,(320)3299270,+57573116983358,bogotá,Bogotá,
Ana  Martínez,Ana Martínez,ana.martinez@company.con,ana.martinez@company.con,301234567,+5757301234567,,,Col .F Verificar Celular Col.H Verificar ciudad
Diego Castillo,Diego Castillo,DIEGO.CASTILLO@OUTLOOK.COM,diego.castillo@outlook.com,3104569711,+57573131147637,bogotá,Bogotá,
María Castillo,María Castillo,maría.castillo@company.com,maría.castillo@company.com,3136129082,+57573162588439,barranquilla,Barranquilla,
Carlos González,Carlos González,carlos.gonzález@gnail.com,carlos.gonzález@gnail.com,+57 321-606-2823,+57573134488682,ibagué,Ibagué,
María Mora,María Mora,MARÍA.MORA@COMPANY.COM,maría.mora@company.com,3132650447,+57573007683336,,,Col.H Verificar ciudad
María Rodríguez,María Rodríguez,maría.rodríguez@hotmail.com,maría.rodríguez@hotmail.com,+57(315)7995439,+57573136120503,bucaramanga,Bucaramanga,
Camila Rojas,Camila Rojas,camila.rojas@company.com,camila.rojas@company.com,(316)6984298,+57573101612427,ibagué,Ibagué,
